date,Open,High,Low,Close,Volume
2020-05-11 10:11:00,0.794,0.794,0.7901,0.7931,25043.0
2020-05-11 10:12:00,0.7932,0.7932,0.79,0.7901,52522.0
2020-05-11 10:13:00,0.7901,0.7906,0.784,0.79,55306.0
2020-05-11 10:14:00,0.7903,0.7903,0.784,0.79,15890.0
2020-05-11 10:15:00,0.7872,0.79,0.7848,0.79,21730.0
2020-05-11 10:16:00,0.7899,0.79,0.785,0.785,25746.0
2020-05-11 10:17:00,0.79,0.79,0.79,0.79,33983.0
2020-05-11 10:18:00,0.7855,0.79,0.7855,0.7878,22929.0
2020-05-11 10:19:00,0.79,0.79,0.7874,0.7899,20609.0
2020-05-11 10:20:00,0.7899,0.7899,0.785,0.7865,27111.0
2020-05-11 10:21:00,0.7865,0.7865,0.784,0.7855,39085.0
2020-05-11 10:22:00,0.7855,0.7855,0.7801,0.7802,51270.0
2020-05-11 10:23:00,0.7803,0.7812,0.7801,0.7809,41825.0
2020-05-11 10:24:00,0.7812,0.7883,0.7812,0.7881,16036.0
2020-05-11 10:25:00,0.7874,0.79,0.7853,0.7853,43213.0
2020-05-11 10:26:00,0.7877,0.7877,0.7812,0.7841,24507.0
2020-05-11 10:27:00,0.785,0.785,0.7812,0.7837,33694.0
2020-05-11 10:28:00,0.7838,0.7838,0.7812,0.7837,17967.0
2020-05-11 10:29:00,0.7837,0.7837,0.7805,0.7806,26442.0
2020-05-11 10:30:00,0.7806,0.7806,0.7777,0.7777,100455.0
2020-05-11 10:31:00,0.7777,0.7778,0.77,0.7745,121952.0
2020-05-11 10:32:00,0.775,0.776,0.7721,0.7721,49477.0
2020-05-11 10:33:00,0.773,0.78,0.773,0.7789,65730.0
2020-05-11 10:34:00,0.7795,0.78,0.7779,0.78,45559.0
2020-05-11 10:35:00,0.78,0.79,0.78,0.78,36668.0
2020-05-11 10:36:00,0.7792,0.7852,0.775,0.7826,56499.0
2020-05-11 10:37:00,0.7851,0.7852,0.7815,0.7848,72765.0
2020-05-11 10:38:00,0.7844,0.7844,0.782,0.782,54929.0
2020-05-11 10:39:00,0.7805,0.781,0.78,0.7809,33668.0
2020-05-11 10:40:00,0.7809,0.781,0.7808,0.7809,45264.0
2020-05-11 10:41:00,0.7808,0.7809,0.78,0.7809,74655.0
2020-05-11 10:42:00,0.7809,0.7809,0.775,0.78,67076.0
2020-05-11 10:43:00,0.7775,0.78,0.7755,0.7785,39010.0
2020-05-11 10:44:00,0.78,0.79,0.78,0.78,16487.0
2020-05-11 10:45:00,0.7761,0.7771,0.7712,0.7712,73851.0
2020-05-11 10:46:00,0.7712,0.7712,0.77,0.7701,156208.0
2020-05-11 10:47:00,0.7701,0.7701,0.76,0.76,250456.0
2020-05-11 10:48:00,0.77,0.77,0.76,0.7601,143662.0
2020-05-11 10:49:00,0.76,0.7601,0.7324,0.7346,355518.0
2020-05-11 10:50:00,0.7334,0.7471,0.7279,0.7354,361420.0
2020-05-11 10:51:00,0.731,0.747,0.731,0.739,270252.0
2020-05-11 10:52:00,0.7398,0.775,0.738,0.7689,306536.0
2020-05-11 10:53:00,0.75,0.78,0.75,0.76,80856.0
2020-05-11 10:54:00,0.7553,0.7553,0.75,0.7501,48909.0
2020-05-11 10:55:00,0.7525,0.765,0.7501,0.759,33889.0
2020-05-11 10:56:00,0.7593,0.7594,0.7539,0.759,67716.0
2020-05-11 10:57:00,0.759,0.759,0.745,0.7461,57580.0
2020-05-11 10:58:00,0.745,0.7461,0.74,0.7461,5344.0
2020-05-11 10:59:00,0.726,0.7375,0.726,0.7375,287321.0
2020-05-11 11:00:00,0.73,0.76,0.73,0.75,63786.0
2020-05-11 11:01:00,0.7527,0.7528,0.74,0.74,81423.0
